task_id,task_name,start_date,end_date,planned_cost,actual_cost,completion_pct,status
P001,Инициация проекта,2023-01-09,2023-01-13,500,650,100,Done
P002,Анализ стейкхолдеров,2023-01-16,2023-01-27,1200,1500,100,Done
P003,Сбор требований,2023-01-30,2023-02-17,3000,4200,100,Done
P004,Техническое проектирование,2023-02-20,2023-03-17,8000,9500,100,Done
P005,Разработка ядра системы,2023-03-20,2023-05-05,25000,32000,100,Done
P006,Интеграция с Legacy-системами,2023-04-10,2023-06-02,18000,28500,85,In Progress
P007,Разработка API гейтвея,2023-05-15,2023-07-07,15000,13200,92,In Progress
P008,Создание микросервиса А,2023-06-12,2023-08-04,22000,18700,78,In Progress
P009,Разработка микросервиса B,2023-06-26,2023-08-18,19000,15200,65,In Progress
P010,Внедение кэширования Redis,2023-07-10,2023-08-25,8500,7200,58,In Progress
P011,Миграция базы данных,2023-07-24,2023-09-08,12000,6800,42,In Progress
P012,Настройка мониторинга,2023-08-07,2023-09-22,6000,3100,35,In Progress
P013,Разработка панели администратора,2023-08-21,2023-10-06,14000,8900,48,In Progress
P014,Интеграция с платежными системами,2023-09-04,2023-10-20,16000,10500,55,In Progress
P015,Реализация двухфакторной аутентификации,2023-09-18,2023-11-03,9500,5200,38,In Progress
P016,Настройка CI/CD пайплайна,2023-10-02,2023-11-17,7500,4200,32,In Progress
P017,Разработка мобильного клиента,2023-10-16,2023-12-01,28000,16200,45,In Progress
P018,Создание дашборда аналитики,2023-10-30,2023-12-15,11000,6300,40,In Progress
P019,Тестирование безопасности,2023-11-13,2023-12-29,13500,0,0,Not Started
P020,Нагрузочное тестирование,2023-11-27,2024-01-12,9000,0,0,Not Started
P021,Юзабилити-тестирование,2023-12-11,2024-01-26,7000,0,0,Not Started
P022,Документирование API,2023-12-25,2024-02-09,5000,0,0,Not Started
P023,Подготовка релизной документации,2024-01-08,2024-02-23,4500,0,0,Not Started
P024,Обучение пользователей,2024-01-22,2024-03-08,8000,0,0,Not Started
P025,Пилотное внедрение,2024-02-05,2024-03-22,15000,0,0,Not Started
P026,Сбор обратной связи,2024-02-19,2024-04-05,6000,0,0,Not Started
P027,Доработка по фидбеку,2024-03-04,2024-04-19,12000,0,0,Not Started
P028,Финальный релиз,2024-03-18,2024-05-03,10000,0,0,Not Started
P029,Пострелизная поддержка,2024-04-01,2024-05-17,18000,0,0,Not Started
P030,Анализ эффективности проекта,2024-04-15,2024-05-31,4000,0,0,Not Started
RISK001,Устранение уязвимостей безопасности,2023-08-14,2023-09-01,5000,7500,100,Done
RISK002,Рефакторинг проблемного модуля,2023-09-11,2023-10-06,8000,11000,100,Done
RISK003,Миграция на новую версию фреймворка,2023-10-09,2023-11-03,6000,8200,100,Done
CHANGE001,Добавление новой функциональности,2023-11-06,2023-12-01,12000,9500,72,In Progress
CHANGE002,Интеграция с дополнительным провайдером,2023-11-20,2023-12-15,7000,4800,55,In Progress
DELAY001,Компенсация задержки поставки,2023-10-23,2023-11-17,3000,4200,100,Done
SUPPORT001,Техническая поддержка в праздники,2023-12-18,2024-01-05,2500,3800,100,Done
OPTIMIZE001,Оптимизация производительности БД,2024-01-15,2024-02-02,4500,0,0,Not Started
TRAINING001,Дополнительное обучение команды,2024-02-12,2024-03-01,3500,0,0,Not Started
