task_id,task_name,start_date,end_date,planned_cost,actual_cost,completion_pct,status
T001,Разработка ТЗ,2023-01-10,2023-01-20,1000,1200,100,Done
T002,Проектирование архитектуры,2023-01-21,2023-02-10,2000,1500,80,In Progress
T003,Разработка модуля X,2023-02-11,2023-03-15,5000,3000,50,In Progress
T004,Интеграционное тестирование,2023-03-16,2023-04-05,3000,0,0,Not Started
T005,Внедрение и документирование,2023-04-06,2023-04-30,4000,0,0,Not Started
T006,Анализ требований,2023-01-05,2023-01-15,1500,1600,100,Done
T007,Создание прототипа UI,2023-01-25,2023-02-14,2500,2200,90,In Progress
T008,Разработка базы данных,2023-02-15,2023-03-10,4500,3800,70,In Progress
T009,Написание API,2023-02-20,2023-03-25,6000,4500,60,In Progress
T010,Юнит-тестирование,2023-03-20,2023-04-10,3500,1200,30,In Progress
T011,Настройка сервера,2023-03-25,2023-04-15,2800,900,25,In Progress
T012,Разработка админ-панели,2023-03-01,2023-04-05,5200,3100,55,In Progress
T013,Интеграция с платежной системой,2023-03-10,2023-04-20,4800,1900,35,In Progress
T014,Оптимизация производительности,2023-04-01,2023-04-25,3200,800,20,In Progress
T015,Тестирование безопасности,2023-04-05,2023-04-30,4100,0,0,Not Started
T016,Документация API,2023-04-10,2023-05-05,1800,0,0,Not Started
T017,Подготовка демо-материалов,2023-04-15,2023-05-10,2200,0,0,Not Started
T018,Обучение пользователей,2023-05-01,2023-05-20,3500,0,0,Not Started
T019,Пилотное внедрение,2023-05-10,2023-06-05,5800,0,0,Not Started
T020,Сбор обратной связи,2023-05-25,2023-06-15,1900,0,0,Not Started
T021,Доработка по фидбеку,2023-06-05,2023-06-30,4200,0,0,Not Started
T022,Финальное тестирование,2023-06-20,2023-07-10,3100,0,0,Not Started
T023,Подготовка к релизу,2023-07-05,2023-07-15,1500,0,0,Not Started
T024,Релиз версии 1.0,2023-07-10,2023-07-20,2000,0,0,Not Started
T025,Мониторинг после релиза,2023-07-15,2023-08-01,2700,0,0,Not Started
T026,Разработка модуля отчетности,2023-02-25,2023-03-30,3800,2100,45,In Progress
T027,Интеграция с аналитикой,2023-03-15,2023-04-18,2900,1100,32,In Progress
T028,Создание дашбордов,2023-03-25,2023-04-28,3400,900,22,In Progress
T029,Тестирование мобильной версии,2023-04-08,2023-05-02,2600,0,0,Not Started
T030,Оптимизация для SEO,2023-04-12,2023-05-08,1900,0,0,Not Started
T031,Локализация интерфейса,2023-04-18,2023-05-12,3200,0,0,Not Started
T032,Настройка CDN,2023-04-22,2023-05-15,2100,0,0,Not Started
T033,Резервное копирование,2023-04-26,2023-05-18,1700,0,0,Not Started
T034,Тестирование нагрузки,2023-05-03,2023-05-25,4300,0,0,Not Started
T035,Документация для техподдержки,2023-05-12,2023-06-02,2400,0,0,Not Started
T036,Обучение техподдержки,2023-05-22,2023-06-09,2800,0,0,Not Started
T037,Разработка виджетов,2023-03-05,2023-04-12,4700,2900,58,In Progress
T038,Интеграция с соцсетями,2023-03-18,2023-04-22,3300,1400,38,In Progress
T039,Тестирование кроссбраузерности,2023-04-14,2023-05-06,2900,0,0,Not Started
T040,Оптимизация изображений,2023-04-20,2023-05-11,1600,0,0,Not Started
T041,Настройка кэширования,2023-04-24,2023-05-14,2200,0,0,Not Started
T042,Мониторинг ошибок,2023-04-28,2023-05-19,1900,0,0,Not Started
T043,Аудит доступности,2023-05-05,2023-05-26,2700,0,0,Not Started
T044,Создание FAQ,2023-05-15,2023-06-05,2100,0,0,Not Started
T045,Подготовка видео-инструкций,2023-05-20,2023-06-12,3500,0,0,Not Started
T046,Тестирование юзабилити,2023-05-28,2023-06-16,3100,0,0,Not Started
T047,Сбор метрик использования,2023-06-08,2023-06-28,2400,0,0,Not Started
T048,Анализ эффективности,2023-06-15,2023-07-05,2900,0,0,Not Started
T049,Планирование версии 2.0,2023-07-01,2023-07-20,3300,0,0,Not Started
T050,Ретроспектива проекта,2023-07-25,2023-08-10,1800,0,0,Not Started
T051,Разработка мобильного приложения,2023-03-08,2023-05-15,12500,6800,52,In Progress
T052,Тестирование push-уведомлений,2023-04-20,2023-05-30,2800,0,0,Not Started
T053,Публикация в app stores,2023-05-25,2023-06-15,3500,0,0,Not Started
T054,Настройка аналитики мобильного,2023-05-30,2023-06-20,2200,0,0,Not Started
T055,Финальный отчет по проекту,2023-08-01,2023-08-15,1500,0,0,Not Started
